2024-04-02 18:43:32 status unpacked libbinutils:amd64 2.42-4
2024-04-02 18:43:32 install libctf-nobfd0:amd64 <none> 2.42-4
2024-04-02 18:43:32 status half-installed libctf-nobfd0:amd64 2.42-4
2024-04-02 18:43:32 status unpacked libctf-nobfd0:amd64 2.42-4
2024-04-02 18:43:32 install libctf0:amd64 <none> 2.42-4
2024-04-02 18:43:32 status half-installed libctf0:amd64 2.42-4
2024-04-02 18:43:32 status unpacked libctf0:amd64 2.42-4
2024-04-02 18:43:32 install libgprofng0:amd64 <none> 2.42-4
2024-04-02 18:43:32 status half-installed libgprofng0:amd64 2.42-4
2024-04-02 18:43:32 status unpacked libgprofng0:amd64 2.42-4
2024-04-02 18:43:32 install binutils-x86-64-linux-gnu:amd64 <none> 2.42-4
2024-04-02 18:43:32 status half-installed binutils-x86-64-linux-gnu:amd64 2.42-4
2024-04-02 18:43:32 status unpacked binutils-x86-64-linux-gnu:amd64 2.42-4
2024-04-02 18:43:32 install binutils:amd64 <none> 2.42-4
2024-04-02 18:43:32 status half-installed binutils:amd64 2.42-4
2024-04-02 18:43:32 status unpacked binutils:amd64 2.42-4
2024-04-02 18:43:32 install libc-dev-bin:amd64 <none> 2.37-12
2024-04-02 18:43:32 status half-installed libc-dev-bin:amd64 2.37-12
2024-04-02 18:43:32 status unpacked libc-dev-bin:amd64 2.37-12
2024-04-02 18:43:32 install linux-libc-dev:all <none> 6.6.9-1kali1
2024-04-02 18:43:32 status half-installed linux-libc-dev:all 6.6.9-1kali1
2024-04-02 18:43:33 status unpacked linux-libc-dev:all 6.6.9-1kali1
2024-04-02 18:43:33 install libcrypt-dev:amd64 <none> 1:4.4.36-4
2024-04-02 18:43:33 status half-installed libcrypt-dev:amd64 1:4.4.36-4
2024-04-02 18:43:33 status unpacked libcrypt-dev:amd64 1:4.4.36-4
2024-04-02 18:43:33 install libtirpc-dev:amd64 <none> 1.3.4+ds-1
2024-04-02 18:43:33 status half-installed libtirpc-dev:amd64 1.3.4+ds-1
2024-04-02 18:43:33 status unpacked libtirpc-dev:amd64 1.3.4+ds-1
2024-04-02 18:43:33 install libnsl-dev:amd64 <none> 1.3.0-3
2024-04-02 18:43:33 status half-installed libnsl-dev:amd64 1.3.0-3
2024-04-02 18:43:33 status unpacked libnsl-dev:amd64 1.3.0-3
2024-04-02 18:43:33 install rpcsvc-proto:amd64 <none> 1.4.3-1
2024-04-02 18:43:33 status half-installed rpcsvc-proto:amd64 1.4.3-1
2024-04-02 18:43:33 status unpacked rpcsvc-proto:amd64 1.4.3-1
2024-04-02 18:43:33 install libc6-dev:amd64 <none> 2.37-12
2024-04-02 18:43:33 status half-installed libc6-dev:amd64 2.37-12
2024-04-02 18:43:33 status unpacked libc6-dev:amd64 2.37-12
2024-04-02 18:43:33 install gcc-13-base:amd64 <none> 13.2.0-13
2024-04-02 18:43:33 status half-installed gcc-13-base:amd64 13.2.0-13
2024-04-02 18:43:33 status unpacked gcc-13-base:amd64 13.2.0-13
2024-04-02 18:43:33 install libisl23:amd64 <none> 0.26-3+b2
2024-04-02 18:43:33 status half-installed libisl23:amd64 0.26-3+b2
2024-04-02 18:43:33 status unpacked libisl23:amd64 0.26-3+b2
2024-04-02 18:43:34 install libmpfr6:amd64 <none> 4.2.1-1+b1
2024-04-02 18:43:34 status half-installed libmpfr6:amd64 4.2.1-1+b1
2024-04-02 18:43:34 status unpacked libmpfr6:amd64 4.2.1-1+b1
2024-04-02 18:43:34 install libmpc3:amd64 <none> 1.3.1-1+b2
2024-04-02 18:43:34 status half-installed libmpc3:amd64 1.3.1-1+b2
2024-04-02 18:43:34 status unpacked libmpc3:amd64 1.3.1-1+b2
2024-04-02 18:43:34 install cpp-13-x86-64-linux-gnu:amd64 <none> 13.2.0-13
2024-04-02 18:43:34 status half-installed cpp-13-x86-64-linux-gnu:amd64 13.2.0-13
2024-04-02 18:43:34 status unpacked cpp-13-x86-64-linux-gnu:amd64 13.2.0-13
2024-04-02 18:43:34 install cpp-13:amd64 <none> 13.2.0-13
2024-04-02 18:43:34 status half-installed cpp-13:amd64 13.2.0-13
2024-04-02 18:43:34 status unpacked cpp-13:amd64 13.2.0-13
2024-04-02 18:43:34 install cpp-x86-64-linux-gnu:amd64 <none> 4:13.2.0-7
2024-04-02 18:43:34 status half-installed cpp-x86-64-linux-gnu:amd64 4:13.2.0-7
2024-04-02 18:43:34 status unpacked cpp-x86-64-linux-gnu:amd64 4:13.2.0-7
2024-04-02 18:43:34 install cpp:amd64 <none> 4:13.2.0-7
2024-04-02 18:43:34 status half-installed cpp:amd64 4:13.2.0-7
2024-04-02 18:43:34 status unpacked cpp:amd64 4:13.2.0-7
2024-04-02 18:43:34 install libcc1-0:amd64 <none> 14-20240201-3
2024-04-02 18:43:34 status half-installed libcc1-0:amd64 14-20240201-3
2024-04-02 18:43:34 status unpacked libcc1-0:amd64 14-20240201-3
2024-04-02 18:43:34 install libgomp1:amd64 <none> 14-20240201-3
2024-04-02 18:43:34 status half-installed libgomp1:amd64 14-20240201-3
2024-04-02 18:43:34 status unpacked libgomp1:amd64 14-20240201-3
2024-04-02 18:43:34 install libitm1:amd64 <none> 14-20240201-3
2024-04-02 18:43:34 status half-installed libitm1:amd64 14-20240201-3
2024-04-02 18:43:34 status unpacked libitm1:amd64 14-20240201-3
2024-04-02 18:43:34 install libatomic1:amd64 <none> 14-20240201-3
2024-04-02 18:43:34 status half-installed libatomic1:amd64 14-20240201-3
2024-04-02 18:43:34 status unpacked libatomic1:amd64 14-20240201-3
2024-04-02 18:43:34 install libasan8:amd64 <none> 14-20240201-3
2024-04-02 18:43:34 status half-installed libasan8:amd64 14-20240201-3
2024-04-02 18:43:35 status unpacked libasan8:amd64 14-20240201-3
2024-04-02 18:43:35 install liblsan0:amd64 <none> 14-20240201-3
2024-04-02 18:43:35 status half-installed liblsan0:amd64 14-20240201-3
2024-04-02 18:43:35 status unpacked liblsan0:amd64 14-20240201-3
2024-04-02 18:43:35 install libtsan2:amd64 <none> 14-20240201-3
2024-04-02 18:43:35 status half-installed libtsan2:amd64 14-20240201-3
2024-04-02 18:43:35 status unpacked libtsan2:amd64 14-20240201-3
2024-04-02 18:43:35 install libubsan1:amd64 <none> 14-20240201-3
2024-04-02 18:43:35 status half-installed libubsan1:amd64 14-20240201-3
2024-04-02 18:43:35 status unpacked libubsan1:amd64 14-20240201-3
2024-04-02 18:43:35 install libhwasan0:amd64 <none> 14-20240201-3
2024-04-02 18:43:35 status half-installed libhwasan0:amd64 14-20240201-3
2024-04-02 18:43:35 status unpacked libhwasan0:amd64 14-20240201-3
2024-04-02 18:43:35 install libquadmath0:amd64 <none> 14-20240201-3
2024-04-02 18:43:35 status half-installed libquadmath0:amd64 14-20240201-3
2024-04-02 18:43:35 status unpacked libquadmath0:amd64 14-20240201-3
2024-04-02 18:43:35 install libgcc-13-dev:amd64 <none> 13.2.0-13
2024-04-02 18:43:35 status half-installed libgcc-13-dev:amd64 13.2.0-13
2024-04-02 18:43:35 status unpacked libgcc-13-dev:amd64 13.2.0-13
2024-04-02 18:43:35 install gcc-13-x86-64-linux-gnu:amd64 <none> 13.2.0-13
2024-04-02 18:43:35 status half-installed gcc-13-x86-64-linux-gnu:amd64 13.2.0-13
2024-04-02 18:43:36 status unpacked gcc-13-x86-64-linux-gnu:amd64 13.2.0-13
2024-04-02 18:43:36 install gcc-13:amd64 <none> 13.2.0-13
2024-04-02 18:43:36 status half-installed gcc-13:amd64 13.2.0-13
2024-04-02 18:43:36 status unpacked gcc-13:amd64 13.2.0-13
2024-04-02 18:43:36 install gcc-x86-64-linux-gnu:amd64 <none> 4:13.2.0-7
2024-04-02 18:43:36 status half-installed gcc-x86-64-linux-gnu:amd64 4:13.2.0-7
2024-04-02 18:43:36 status unpacked gcc-x86-64-linux-gnu:amd64 4:13.2.0-7
2024-04-02 18:43:36 install gcc:amd64 <none> 4:13.2.0-7
2024-04-02 18:43:36 status half-installed gcc:amd64 4:13.2.0-7
2024-04-02 18:43:36 status unpacked gcc:amd64 4:13.2.0-7
2024-04-02 18:43:36 install libstdc++-13-dev:amd64 <none> 13.2.0-13
2024-04-02 18:43:36 status half-installed libstdc++-13-dev:amd64 13.2.0-13
2024-04-02 18:43:37 status unpacked libstdc++-13-dev:amd64 13.2.0-13
2024-04-02 18:43:37 install g++-13-x86-64-linux-gnu:amd64 <none> 13.2.0-13
2024-04-02 18:43:37 status half-installed g++-13-x86-64-linux-gnu:amd64 13.2.0-13
2024-04-02 18:43:37 status unpacked g++-13-x86-64-linux-gnu:amd64 13.2.0-13
2024-04-02 18:43:37 install g++-13:amd64 <none> 13.2.0-13
2024-04-02 18:43:37 status half-installed g++-13:amd64 13.2.0-13
2024-04-02 18:43:37 status unpacked g++-13:amd64 13.2.0-13
2024-04-02 18:43:37 install g++-x86-64-linux-gnu:amd64 <none> 4:13.2.0-7
2024-04-02 18:43:37 status half-installed g++-x86-64-linux-gnu:amd64 4:13.2.0-7
2024-04-02 18:43:37 status unpacked g++-x86-64-linux-gnu:amd64 4:13.2.0-7
2024-04-02 18:43:37 install g++:amd64 <none> 4:13.2.0-7
2024-04-02 18:43:37 status half-installed g++:amd64 4:13.2.0-7
2024-04-02 18:43:37 status unpacked g++:amd64 4:13.2.0-7
2024-04-02 18:43:37 install make:amd64 <none> 4.3-4.1
2024-04-02 18:43:37 status half-installed make:amd64 4.3-4.1
2024-04-02 18:43:37 status unpacked make:amd64 4.3-4.1
2024-04-02 18:43:37 install libdpkg-perl:all <none> 1.22.4+kali2
2024-04-02 18:43:37 status half-installed libdpkg-perl:all 1.22.4+kali2
2024-04-02 18:43:38 status unpacked libdpkg-perl:all 1.22.4+kali2
2024-04-02 18:43:38 install dpkg-dev:all <none> 1.22.4+kali2
2024-04-02 18:43:38 status half-installed dpkg-dev:all 1.22.4+kali2
2024-04-02 18:43:38 status unpacked dpkg-dev:all 1.22.4+kali2
2024-04-02 18:43:38 install build-essential:amd64 <none> 12.10
2024-04-02 18:43:38 status half-installed build-essential:amd64 12.10
2024-04-02 18:43:38 status unpacked build-essential:amd64 12.10
2024-04-02 18:43:38 install libassuan0:amd64 <none> 2.5.6-1
2024-04-02 18:43:38 status half-installed libassuan0:amd64 2.5.6-1
2024-04-02 18:43:38 status unpacked libassuan0:amd64 2.5.6-1
2024-04-02 18:43:38 install gpgconf:amd64 <none> 2.2.40-1.1+b1
2024-04-02 18:43:38 status half-installed gpgconf:amd64 2.2.40-1.1+b1
2024-04-02 18:43:38 status unpacked gpgconf:amd64 2.2.40-1.1+b1
2024-04-02 18:43:38 install libksba8:amd64 <none> 1.6.6-1
2024-04-02 18:43:38 status half-installed libksba8:amd64 1.6.6-1
2024-04-02 18:43:38 status unpacked libksba8:amd64 1.6.6-1
2024-04-02 18:43:38 install libnpth0:amd64 <none> 1.6-3+b1
2024-04-02 18:43:38 status half-installed libnpth0:amd64 1.6-3+b1
2024-04-02 18:43:38 status unpacked libnpth0:amd64 1.6-3+b1
2024-04-02 18:43:38 install dirmngr:amd64 <none> 2.2.40-1.1+b1
2024-04-02 18:43:38 status half-installed dirmngr:amd64 2.2.40-1.1+b1
2024-04-02 18:43:38 status unpacked dirmngr:amd64 2.2.40-1.1+b1
2024-04-02 18:43:38 install libfakeroot:amd64 <none> 1.33-1
2024-04-02 18:43:38 status half-installed libfakeroot:amd64 1.33-1
2024-04-02 18:43:38 status unpacked libfakeroot:amd64 1.33-1
2024-04-02 18:43:38 install fakeroot:amd64 <none> 1.33-1
2024-04-02 18:43:38 status half-installed fakeroot:amd64 1.33-1
2024-04-02 18:43:38 status unpacked fakeroot:amd64 1.33-1
2024-04-02 18:43:38 install fonts-dejavu-mono:all <none> 2.37-8
2024-04-02 18:43:38 status half-installed fonts-dejavu-mono:all 2.37-8
2024-04-02 18:43:38 status unpacked fonts-dejavu-mono:all 2.37-8
2024-04-02 18:43:38 install fonts-dejavu-core:all <none> 2.37-8
2024-04-02 18:43:38 status half-installed fonts-dejavu-core:all 2.37-8
2024-04-02 18:43:38 status unpacked fonts-dejavu-core:all 2.37-8
2024-04-02 18:43:38 install fontconfig-config:amd64 <none> 2.15.0-1.1
2024-04-02 18:43:38 status half-installed fontconfig-config:amd64 2.15.0-1.1
2024-04-02 18:43:38 status unpacked fontconfig-config:amd64 2.15.0-1.1
2024-04-02 18:43:38 install gnupg-l10n:all <none> 2.2.40-1.1
2024-04-02 18:43:38 status half-installed gnupg-l10n:all 2.2.40-1.1
2024-04-02 18:43:38 status unpacked gnupg-l10n:all 2.2.40-1.1
2024-04-02 18:43:39 install gnupg-utils:amd64 <none> 2.2.40-1.1+b1
2024-04-02 18:43:39 status half-installed gnupg-utils:amd64 2.2.40-1.1+b1
2024-04-02 18:43:39 status unpacked gnupg-utils:amd64 2.2.40-1.1+b1
2024-04-02 18:43:39 install gpg:amd64 <none> 2.2.40-1.1+b1
2024-04-02 18:43:39 status half-installed gpg:amd64 2.2.40-1.1+b1
2024-04-02 18:43:39 status unpacked gpg:amd64 2.2.40-1.1+b1
2024-04-02 18:43:39 install pinentry-curses:amd64 <none> 1.2.1-3
2024-04-02 18:43:39 status half-installed pinentry-curses:amd64 1.2.1-3
2024-04-02 18:43:39 status unpacked pinentry-curses:amd64 1.2.1-3
2024-04-02 18:43:39 install gpg-agent:amd64 <none> 2.2.40-1.1+b1
2024-04-02 18:43:39 status half-installed gpg-agent:amd64 2.2.40-1.1+b1
2024-04-02 18:43:39 status unpacked gpg-agent:amd64 2.2.40-1.1+b1
2024-04-02 18:43:39 install gpg-wks-client:amd64 <none> 2.2.40-1.1+b1
2024-04-02 18:43:39 status half-installed gpg-wks-client:amd64 2.2.40-1.1+b1
2024-04-02 18:43:39 status unpacked gpg-wks-client:amd64 2.2.40-1.1+b1
2024-04-02 18:43:39 install gpg-wks-server:amd64 <none> 2.2.40-1.1+b1
